id,environment,text,entity,semantic_feature,shortcut_feature,label,shortcut_aligned,rule_label,shortcut_label,split,prediction,correct,failure_type
reversal_0000,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0001,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0002,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0003,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0004,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0005,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0006,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0007,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0008,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0009,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0010,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0011,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0012,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0013,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0014,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0015,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0016,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0017,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0018,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0019,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0020,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0021,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0022,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0023,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0024,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0025,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0026,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0027,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0028,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0029,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0030,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0031,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0033,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0034,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0035,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0036,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0039,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0040,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0041,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
