id,gold,variant,pred,correct,question
0,no,original,no,True,is american and australian sign language the same
0,no,distractor,no,True,is american and australian sign language the same
0,no,frame_a,no,True,is american and australian sign language the same
0,no,frame_b,no,True,is american and australian sign language the same
1,yes,original,yes,True,was looking for mr goodbar based on a true story
1,yes,distractor,yes,True,was looking for mr goodbar based on a true story
1,yes,frame_a,yes,True,was looking for mr goodbar based on a true story
1,yes,frame_b,yes,True,was looking for mr goodbar based on a true story
2,yes,original,yes,True,is artificial selection and selective breeding the same thing
2,yes,distractor,yes,True,is artificial selection and selective breeding the same thing
2,yes,frame_a,yes,True,is artificial selection and selective breeding the same thing
2,yes,frame_b,yes,True,is artificial selection and selective breeding the same thing
3,no,original,no,True,is a chipmunk the same as a ground squirrel
3,no,distractor,no,True,is a chipmunk the same as a ground squirrel
3,no,frame_a,no,True,is a chipmunk the same as a ground squirrel
3,no,frame_b,no,True,is a chipmunk the same as a ground squirrel
4,yes,original,yes,True,is there a player in the nfl missing a hand
4,yes,distractor,yes,True,is there a player in the nfl missing a hand
4,yes,frame_a,yes,True,is there a player in the nfl missing a hand
4,yes,frame_b,yes,True,is there a player in the nfl missing a hand
5,no,original,no,True,are elephants at the top of the food chain
5,no,distractor,no,True,are elephants at the top of the food chain
5,no,frame_a,no,True,are elephants at the top of the food chain
5,no,frame_b,no,True,are elephants at the top of the food chain
6,yes,original,yes,True,is a lightning bug the same as a firefly
6,yes,distractor,yes,True,is a lightning bug the same as a firefly
6,yes,frame_a,yes,True,is a lightning bug the same as a firefly
6,yes,frame_b,yes,True,is a lightning bug the same as a firefly
7,no,original,no,True,does steph curry have an olympic gold medal
7,no,distractor,no,True,does steph curry have an olympic gold medal
7,no,frame_a,no,True,does steph curry have an olympic gold medal
7,no,frame_b,no,True,does steph curry have an olympic gold medal
8,yes,original,yes,True,can a player play in the europa league and champions league
8,yes,distractor,yes,True,can a player play in the europa league and champions league
8,yes,frame_a,yes,True,can a player play in the europa league and champions league
8,yes,frame_b,yes,True,can a player play in the europa league and champions league
9,no,original,no,True,are all bacteria of a single species the exact same shape
9,no,distractor,no,True,are all bacteria of a single species the exact same shape
9,no,frame_a,no,True,are all bacteria of a single species the exact same shape
9,no,frame_b,no,True,are all bacteria of a single species the exact same shape
10,no,original,yes,False,is chicago fire filmed in a real firehouse
10,no,distractor,yes,False,is chicago fire filmed in a real firehouse
10,no,frame_a,yes,False,is chicago fire filmed in a real firehouse
10,no,frame_b,yes,False,is chicago fire filmed in a real firehouse
11,yes,original,yes,True,has anyone ever won the wsop main event twice
11,yes,distractor,yes,True,has anyone ever won the wsop main event twice
11,yes,frame_a,yes,True,has anyone ever won the wsop main event twice
11,yes,frame_b,yes,True,has anyone ever won the wsop main event twice
12,no,original,no,True,is the honda crf 250 a 2 stroke
12,no,distractor,no,True,is the honda crf 250 a 2 stroke
12,no,frame_a,no,True,is the honda crf 250 a 2 stroke
12,no,frame_b,no,True,is the honda crf 250 a 2 stroke
13,no,original,no,True,was avatar the last airbender based on a book
13,no,distractor,no,True,was avatar the last airbender based on a book
13,no,frame_a,no,True,was avatar the last airbender based on a book
13,no,frame_b,no,True,was avatar the last airbender based on a book
14,yes,original,yes,True,can the word actor be used for females
14,yes,distractor,yes,True,can the word actor be used for females
14,yes,frame_a,yes,True,can the word actor be used for females
14,yes,frame_b,yes,True,can the word actor be used for females
15,yes,original,yes,True,is there a book after the girl in the spider's web
15,yes,distractor,yes,True,is there a book after the girl in the spider's web
15,yes,frame_a,yes,True,is there a book after the girl in the spider's web
15,yes,frame_b,yes,True,is there a book after the girl in the spider's web
16,yes,original,yes,True,do the great lakes connect to the ocean
16,yes,distractor,yes,True,do the great lakes connect to the ocean
16,yes,frame_a,yes,True,do the great lakes connect to the ocean
16,yes,frame_b,yes,True,do the great lakes connect to the ocean
17,no,original,no,True,is a football field equal to an acre
17,no,distractor,no,True,is a football field equal to an acre
17,no,frame_a,no,True,is a football field equal to an acre
17,no,frame_b,no,True,is a football field equal to an acre
18,no,original,no,True,can you get the death penalty as a minor
18,no,distractor,no,True,can you get the death penalty as a minor
18,no,frame_a,no,True,can you get the death penalty as a minor
18,no,frame_b,no,True,can you get the death penalty as a minor
19,no,original,no,True,can you get into canada with just a drivers license
19,no,distractor,no,True,can you get into canada with just a drivers license
19,no,frame_a,no,True,can you get into canada with just a drivers license
19,no,frame_b,no,True,can you get into canada with just a drivers license
20,yes,original,yes,True,can you take the money in who wants to be a millionaire
20,yes,distractor,yes,True,can you take the money in who wants to be a millionaire
20,yes,frame_a,yes,True,can you take the money in who wants to be a millionaire
20,yes,frame_b,yes,True,can you take the money in who wants to be a millionaire
21,no,original,no,True,will all xbox 360 games work on xbox one
21,no,distractor,no,True,will all xbox 360 games work on xbox one
21,no,frame_a,no,True,will all xbox 360 games work on xbox one
21,no,frame_b,no,True,will all xbox 360 games work on xbox one
22,yes,original,yes,True,is there such thing as unsweetened condensed milk
22,yes,distractor,yes,True,is there such thing as unsweetened condensed milk
