group_id,reasoning_type,variant,gold,pred,correct
caus_v3_001,causal,original,yes,yes,True
caus_v3_001,causal,paraphrase,yes,yes,True
caus_v3_001,causal,lexical_shift,yes,yes,True
caus_v3_001,causal,reasoning_path_shift,yes,yes,True
caus_v3_001,causal,distractor,yes,yes,True
caus_v3_002,causal,original,yes,yes,True
caus_v3_002,causal,paraphrase,yes,yes,True
caus_v3_002,causal,lexical_shift,yes,yes,True
caus_v3_002,causal,reasoning_path_shift,yes,yes,True
caus_v3_002,causal,distractor,yes,yes,True
caus_v3_003,causal,original,yes,yes,True
caus_v3_003,causal,paraphrase,yes,yes,True
caus_v3_003,causal,lexical_shift,yes,yes,True
caus_v3_003,causal,reasoning_path_shift,yes,yes,True
caus_v3_003,causal,distractor,yes,yes,True
caus_v3_004,causal,original,yes,yes,True
caus_v3_004,causal,paraphrase,yes,yes,True
caus_v3_004,causal,lexical_shift,yes,yes,True
caus_v3_004,causal,reasoning_path_shift,yes,yes,True
caus_v3_004,causal,distractor,yes,yes,True
caus_v3_005,causal,original,yes,yes,True
caus_v3_005,causal,paraphrase,yes,yes,True
caus_v3_005,causal,lexical_shift,yes,yes,True
caus_v3_005,causal,reasoning_path_shift,yes,yes,True
caus_v3_005,causal,distractor,yes,yes,True
caus_v3_006,causal,original,yes,yes,True
caus_v3_006,causal,paraphrase,yes,yes,True
caus_v3_006,causal,lexical_shift,yes,yes,True
caus_v3_006,causal,reasoning_path_shift,yes,yes,True
caus_v3_006,causal,distractor,yes,yes,True
caus_v3_007,causal,original,yes,yes,True
caus_v3_007,causal,paraphrase,yes,yes,True
caus_v3_007,causal,lexical_shift,yes,yes,True
caus_v3_007,causal,reasoning_path_shift,yes,yes,True
caus_v3_007,causal,distractor,yes,yes,True
caus_v3_008,causal,original,yes,yes,True
caus_v3_008,causal,paraphrase,yes,yes,True
caus_v3_008,causal,lexical_shift,yes,yes,True
caus_v3_008,causal,reasoning_path_shift,yes,yes,True
caus_v3_008,causal,distractor,yes,yes,True
caus_v3_009,causal,original,yes,yes,True
caus_v3_009,causal,paraphrase,yes,yes,True
caus_v3_009,causal,lexical_shift,yes,yes,True
caus_v3_009,causal,reasoning_path_shift,yes,yes,True
caus_v3_009,causal,distractor,yes,yes,True
caus_v3_010,causal,original,yes,yes,True
caus_v3_010,causal,paraphrase,yes,yes,True
caus_v3_010,causal,lexical_shift,yes,yes,True
caus_v3_010,causal,reasoning_path_shift,yes,yes,True
